VarName,Type,Name,Units,PresentationUnits,Frequency,TransformationCode,ReTransformation,PresentationTransform
ussurv1055,Surveys,"Manufacturing, PMI","$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
ussurv1044,Surveys,"Non-Manufacturing, PMI","$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
uslama1135,Labour Market,"Hours Worked, Average Weekly","$ 400\\Delta_{3}(\\log(y_{t,i}))$","QoQ, AR ($\%$)",M,3,1,
uslama1849,Labour Market,Unemployment,"$\\Delta_{3}(y_{t,i})$",$\%$,M,2,1,
uslama1060,Labour Market,"Employment, Nonfarm, Payroll","$ 400\\Delta_{3}(\\log(y_{t,i}))$","QoQ, AR ($\%$)",M,3,0,
ussurv0354,Surveys,Consumer Sentiment Index,"$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
ustrad0070,Production and Trade,Retail Sales,"$ 400\\Delta_{3}(\\log(y_{t,i}))$","QoQ, AR ($\%$)",M,3,0,
usprod1071,Production and Trade,Capacity Utilization,"$\\Delta_{3}(y_{t,i})$",$\%$,M,2,1,
usprod1022,Production and Trade,Industrial Production,"$400\\Delta_{3}(\\log(y_{t,i}))$","QoQ, AR ($\%$)",M,3,0,
uspric2156,Consumption and Income,Consumer Price Index,"$ 100\\Delta_{3}\\left(\\Delta_{12}\\log(y_{t,i})\\right)$",Annual rate ($\%$),M,4,2,
uscons1156,Production and Trade,"Construction Started, Residential","$ 400\\Delta_{3}(\\log(y_{t,i}))$","QoQ, AR ($\%$)",M,3,0,
ussurv1102,Surveys,"Business Outlook Survey, Manufacturing","$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
uscons1146,Production and Trade,Construction by Status,"$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR ($\%$)",M,3,0,
usprod1501,Production and Trade,"Unfilled Orders, Durable Goods","$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR ($\%$)",M,3,0,
usprod1385,Production and Trade,"New Orders, Durable Goods","$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR ($\%$)",M,3,0,
usprod0805,Production and Trade,Manufacturers' Inventories,"$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR ($\%$)",M,3,0,
usnaac0169,Quarterly Series,Real Gross Domestic Product,"QoQ, SAAR","QoQ, SAAR (\%)",Q,3,0,
usnaac0591,Consumption and Income,Personal Consumption Expenditures,"$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR (\%)",M,3,0,
bea037_76a067rx_m,Consumption and Income,Disposable Personal Income,"$400\\Delta_{3}(\\log(y_{t,i})) $","QoQ, AR (\%)",M,3,0,
ussurv1363,Surveys,"Business Surveys, ISM Chicago","$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
ussurv1459,Surveys,Consumer Sentiment Index,"$\\Delta_{3}(y_{t,i})$",Index,M,2,1,
